"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"Second Schleswig_Holstein","Germany","DEU",01-FEB-64,25-APR-64,84,4481,54.51,9.72
"Second Schleswig_Holstein","Denmark","DNK",01-FEB-64,25-APR-64,84,4481,54.51,9.72
"Lopez","Paraguay","PRY",12-NOV-64,01-MAR-70,1935,310000,-22.4135,-55.7422
"Lopez","Brazil","BRA",12-NOV-64,01-MAR-70,1935,310000,-22.4135,-55.7422
"Lopez","Argentina","ARG",05-MAR-65,01-MAR-70,1822,310000,-22.4135,-55.7422
"Naval War","Peru","PER",14-JAN-66,09-MAY-66,115,1000,-13.64,-76.4
"Naval War","Chile","CHL",25-SEP-65,09-MAY-66,226,1000,-13.64,-76.4
"Naval War","Spain","ESP",25-SEP-65,09-MAY-66,226,1000,-13.64,-76.4
"Seven Weeks","Germany","DEU",15-JUN-66,26-JUL-66,41,44100,54.13861,9.763035
"Seven Weeks","Italy","ITA",20-JUN-66,26-JUL-66,36,44100,54.13861,9.763035
"Franco_Prussian","Germany","DEU",19-JUL-70,26-FEB-71,222,204313,49.0463,7.81941
"Franco_Prussian","France","FRA",19-JUL-70,26-FEB-71,222,204313,49.0463,7.81941
"First Central American","El Salvador","SLV",27-MAR-76,25-APR-76,29,4000,14.1462,-89.709
"First Central American","Guatemala","GTM",27-MAR-76,25-APR-76,29,4000,14.1462,-89.709
"Second Russo_Turkish","Russia","RUS",24-APR-77,31-JAN-78,282,285000,41.8101,21.0937
"Second Russo_Turkish","Turkey","TUR",24-APR-77,31-JAN-78,282,285000,41.8101,21.0937
"War of the Pacific","Peru","PER",05-APR-79,23-OCT-83,1662,13868,-20.3063,-68.7092
"War of the Pacific","Bolivia","BOL",14-FEB-79,11-DEC-83,1761,13868,-20.3063,-68.7092
"War of the Pacific","Chile","CHL",14-FEB-79,11-DEC-83,1761,13868,-20.3063,-68.7092
"Conquest of Egypt","Egypt","EGY",11-JUL-82,15-SEP-82,66,10079,26.4943,29.872
"Conquest of Egypt","United Kingdom","GBR",11-JUL-82,15-SEP-82,66,10079,26.4943,29.872
"Sino_French","China","CHN",15-JUN-84,09-JUN-85,359,12100,39.9042,116.407
"Sino_French","France","FRA",15-JUN-84,09-JUN-85,359,12100,39.9042,116.407
"Second Central American","Guatemala","GTM",28-MAR-85,15-APR-85,18,1000,14.1462,-89.709
"Second Central American","El Salvador","SLV",28-MAR-85,15-APR-85,18,1000,14.1462,-89.709
"First Sino_Japanese","China","CHN",25-JUL-94,30-MAR-95,248,15000,37.046967,126.10608
"First Sino_Japanese","Japan","JPN",25-JUL-94,30-MAR-95,248,15000,37.046967,126.10608
"Greco_Turkish","Turkey","TUR",15-FEB-97,19-MAY-97,93,2000,35.3387,25.1442
"Greco_Turkish","Greece","GRC",15-FEB-97,19-MAY-97,93,2000,35.3387,25.1442
"Spanish_American","United States of America","USA",22-APR-98,12-AUG-98,112,3685,23.1136,-82.3666
"Spanish_American","Spain","ESP",22-APR-98,12-AUG-98,112,3685,23.1136,-82.3666
"Boxer Rebellion","France","FRA",17-JUN-00,14-AUG-00,58,3003,39.848295,116.352758
"Boxer Rebellion","United Kingdom","GBR",17-JUN-00,14-AUG-00,58,3003,39.848295,116.352758
"Boxer Rebellion","Japan","JPN",17-JUN-00,14-AUG-00,58,3003,39.848295,116.352758
"Boxer Rebellion","China","CHN",17-JUN-00,14-AUG-00,58,3003,39.848295,116.352758
"Boxer Rebellion","Russia","RUS",17-JUN-00,14-AUG-00,58,3003,39.848295,116.352758
"Boxer Rebellion","United States of America","USA",17-JUN-00,14-AUG-00,58,3003,39.848295,116.352758
"Sino_Russian","Russia","RUS",17-JUL-00,10-OCT-00,85,4000,45.8038,126.535
"Sino_Russian","China","CHN",17-JUL-00,10-OCT-00,85,4000,45.8038,126.535
"Russo_Japanese","Russia","RUS",08-FEB-04,15-SEP-05,585,151831,38.8517,121.262
"Russo_Japanese","Japan","JPN",08-FEB-04,15-SEP-05,585,151831,38.8517,121.262
"Third Central American","Honduras","HND",27-MAY-06,20-JUL-06,54,1000,14.1462,-89.709
"Third Central American","El Salvador","SLV",27-MAY-06,20-JUL-06,54,1000,14.1462,-89.709
"Third Central American","Guatemala","GTM",27-MAY-06,20-JUL-06,54,1000,14.1462,-89.709
"Fourth Central American","Nicaragua","NIC",19-FEB-07,23-APR-07,63,1000,14.082,-85.4934
"Fourth Central American","Honduras","HND",19-FEB-07,23-APR-07,63,1000,14.082,-85.4934
"Fourth Central American","El Salvador","SLV",19-FEB-07,23-APR-07,63,1000,14.082,-85.4934
"Second Spanish_Moroccan","Spain","ESP",07-JUL-09,23-MAR-10,259,10000,32.9735,-5.2002
"Second Spanish_Moroccan","Morocco","MAR",07-JUL-09,23-MAR-10,259,10000,32.9735,-5.2002
"Italian_Turkish","Turkey","TUR",29-SEP-11,18-OCT-12,385,20000,32.8872,13.1913
"Italian_Turkish","Italy","ITA",29-SEP-11,18-OCT-12,385,20000,32.8872,13.1913
"First Balkan","Bulgaria","BGR",17-OCT-12,03-DEC-12,47,82000,41.919138,26.693898
"First Balkan","Turkey","TUR",17-OCT-12,19-APR-13,184,82000,41.919138,26.693898
"First Balkan","Greece","GRC",17-OCT-12,19-APR-13,184,82000,41.919138,26.693898
"Second Balkan","Romania","ROU",11-JUL-13,30-JUL-13,19,60500,41.919138,26.693898
"Second Balkan","Turkey","TUR",15-JUL-13,30-JUL-13,15,60500,41.919138,26.693898
"Second Balkan","Bulgaria","BGR",30-JUN-13,30-JUL-13,30,60500,41.919138,26.693898
"Second Balkan","Greece","GRC",30-JUN-13,30-JUL-13,30,60500,41.919138,26.693898
"World War I","Portugal","PRT",01-MAR-16,11-NOV-18,985,8578031,50.8798,4.70052
"World War I","United Kingdom","GBR",05-AUG-14,11-NOV-18,1559,8578031,50.8798,4.70052
"World War I","Romania","ROU",27-AUG-16,09-DEC-17,469,8578031,50.8798,4.70052
"World War I","Bulgaria","BGR",12-OCT-15,29-SEP-18,1083,8578031,50.8798,4.70052
"World War I","Germany","DEU",01-AUG-14,11-NOV-18,1563,8578031,50.8798,4.70052
"World War I","Belgium","BEL",04-AUG-14,11-NOV-18,1560,8578031,50.8798,4.70052
"World War I","Russia","RUS",01-AUG-14,05-DEC-17,1222,8578031,50.8798,4.70052
"World War I","Italy","ITA",23-MAY-15,11-NOV-18,1268,8578031,50.8798,4.70052
"World War I","United States of America","USA",17-APR-17,11-NOV-18,573,8578031,50.8798,4.70052
"World War I","Turkey","TUR",28-OCT-14,30-OCT-18,1463,8578031,50.8798,4.70052
"World War I","Japan","JPN",23-AUG-14,11-NOV-18,1541,8578031,50.8798,4.70052
"World War I","France","FRA",03-AUG-14,11-NOV-18,1561,8578031,50.8798,4.70052
"World War I","Greece","GRC",29-JUN-17,11-NOV-18,500,8578031,50.8798,4.70052
"Estonian Liberation","Estonia","EST",22-NOV-18,03-JAN-20,407,11750,59.354778,28.180112
"Estonian Liberation","Russia","RUS",22-NOV-18,03-JAN-20,407,11750,59.354778,28.180112
"Estonian Liberation","Finland","FIN",30-DEC-18,03-JAN-20,369,11750,59.354778,28.180112
"Latvian Liberation","Latvia","LVA",02-DEC-18,01-FEB-20,426,13246,57.396734,27.066578
"Latvian Liberation","Russia","RUS",02-DEC-18,01-FEB-20,426,13246,57.396734,27.066578
"Latvian Liberation","Estonia","EST",01-JAN-19,03-JAN-20,367,13246,57.396734,27.066578
"Latvian Liberation","Germany","DEU",16-APR-19,13-JUL-19,88,13246,57.396734,27.066578
"Latvian Liberation","Germany","DEU",07-DEC-18,15-APR-19,129,13246,57.396734,27.066578
"Russo_Polish","Poland","POL",14-FEB-19,18-OCT-20,612,100000,52.5394,23.4462
"Russo_Polish","Russia","RUS",14-FEB-19,18-OCT-20,612,100000,52.5394,23.4462
"Hungarian Adversaries","Hungary","HUN",16-APR-19,04-AUG-19,110,11000,47.738096,22.402331
"Hungarian Adversaries","Romania","ROU",16-APR-19,04-AUG-19,110,11000,47.738096,22.402331
"Second Greco_Turkish","Greece","GRC",05-MAY-19,11-OCT-22,1255,50000,39.0793,29.2699
"Second Greco_Turkish","Turkey","TUR",05-MAY-19,11-OCT-22,1255,50000,39.0793,29.2699
"Franco_Turkish","France","FRA",01-NOV-19,20-OCT-21,719,40000,41.420057,31.742249
"Franco_Turkish","Turkey","TUR",01-NOV-19,20-OCT-21,719,40000,41.420057,31.742249
"Lithuanian_Polish","Poland","POL",15-JUL-20,01-DEC-20,139,1000,54.50719,25.114416
"Lithuanian_Polish","Lithuania","LTU",15-JUL-20,01-DEC-20,139,1000,54.50719,25.114416
"Manchurian","China","CHN",17-AUG-29,03-DEC-29,108,3200,45.8038,126.535
