"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1939,"Lithuania","Russia",457500,6656,"cession"
1939,"Turkey","France",273350,5312,"cession"
1940,"Bulgaria","Romania",,7421,"cession"
1940,"Russia","Estonia",1126000,47549,"conquest"
1940,"Russia","Latvia",1950000,65773,"conquest"
1940,"Russia","Lithuania",2879070,59464,"conquest"
1941,"Ethiopia","Italy",15000000,906499,"cession"
1942,"Peru","Ecuador",31000,190807,"cession"
1944,"Iceland","Denmark",132000,103000,"secession"
1945,"United States","Japan",869287,2354,"cession"
1944,"Albania","Italy",1132000,28748,"cession"
1945,"Russia","Germany",,13000,"cession"
1945,"Russia","Poland",,179460,"cession"
1945,"Russia","Japan",339357,41063,"cession"
1945,"China","Japan",6084000,35763,"cession"
1945,"China","Japan",,1500000,"cession"
1946,"Syria","France",2978000,184920,"unknown process"
1946,"Lebanon","France",1156000,10400,"unknown process"
1946,"Jordan","United Kingdom",400000,89484,"unknown process"
1946,"Philippines","United States",18400000,299404,"unknown process"
1947,"United States","Japan",47000,1779,"mandated territory"
1947,"France","Italy",,1,"cession"
1947,"Albania","Italy",,5,"cession"
1947,"Greece","Italy",115343,2681,"cession"
1947,"Russia","Romania",3500000,49987,"conquest"
1947,"Russia","Finland",450000,44104,"cession"
1947,"India","United Kingdom",345000,2729368,"unknown process"
1947,"Pakistan","United Kingdom",72200000,863777,"unknown process"
1947,"Australia","United Kingdom",0,412,"cession"
1948,"Canada","United Kingdom",324000,404519,"unification"
1948,"Israel","United Kingdom",782000,12820,"unknown process"
1948,"North Korea","Russia",8000000,121129,"unknown process"
1948,"South Korea","United States",20200000,98500,"unknown process"
1948,"Myanmar","United Kingdom",18100000,678034,"unknown process"
1948,"Sri Lanka","United Kingdom",7244000,65610,"unknown process"
1949,"Belgium","Germany",,18,"cession"
1949,"Luxembourg","Germany",,6,"cession"
1949,"France","Germany",,7,"cession"
1949,"Egypt","Israel",405000,258,"conquest"
1949,"Jordan","Israel",400000,5607,"conquest"
1949,"Taiwan","China",7099000,36156,"secession"
1949,"India","Pakistan",2700000,139860,"conquest"
1949,"Bhutan","India",19920,83,"cession"
1949,"Bhutan","India",300000,46600,"unknown process"
1949,"Pakistan","India",1320000,32024,"conquest"
1949,"Indonesia","Netherlands",74800000,1491562,"unknown process"
1950,"India","France",44786,10,"cession"
1951,"Poland","Russia",7000,240,"cession"
1951,"Russia","Poland",7000,240,"cession"
1953,"Japan","United States",,1000,"cession"
